Name,Researcher,Verified By,SPLC,Twitter,Facebook,YouTube,Notes
American Border Patrol/American Patrol,,,https://www.splcenter.org/fighting-hate/extremist-files/group/american-border-patrolamerican-patrol,,,,
Conselho de Pesquisa Familiar,,,https://www.splcenter.org/fighting-hate/extremist-files/group/conselho-de-pesquisa-familiar,,,,
Imperial Klans of America,,,https://www.splcenter.org/fighting-hate/extremist-files/group/imperial-klans-america,,,,
Aryan Brotherhood,,,https://www.splcenter.org/fighting-hate/extremist-files/group/aryan-brotherhood,,,,
League of the South,,,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,,,,
Pioneer Fund,,,https://www.splcenter.org/fighting-hate/extremist-files/group/pioneer-fund,,,,
Barnes Review,,,https://www.splcenter.org/fighting-hate/extremist-files/group/barnes-review,,,,
American Family Association,,,https://www.splcenter.org/fighting-hate/extremist-files/group/american-family-association,,,,
The Social Contract Press,,,https://www.splcenter.org/fighting-hate/extremist-files/group/social-contract-press,,,,
Kingdom Identity Ministries ,,,https://www.splcenter.org/fighting-hate/extremist-files/group/kingdom-identity-ministries,,,,
Stormfront,,,https://www.splcenter.org/fighting-hate/extremist-files/group/stormfront,,,,
Fundamentalist Church of Jesus Christ of Latter-Day Saints,,,https://www.splcenter.org/fighting-hate/extremist-files/group/fundamentalist-church-jesus-christ-latter-day-saints,,,,
Blood & Honour,,,https://www.splcenter.org/fighting-hate/extremist-files/group/blood-honour,,,,
National Coalition for Immigration Reform,,,https://www.splcenter.org/fighting-hate/extremist-files/group/national-coalition-immigration-reform,,,,
Traditionalist Workers Party,,,https://www.splcenter.org/fighting-hate/extremist-files/group/traditionalist-workers-party,,,,
VDARE,,,https://www.splcenter.org/fighting-hate/extremist-files/group/vdare,,,,
National Socialist Movement,,,https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,,,,
Liberty Counsel,,,https://www.splcenter.org/fighting-hate/extremist-files/group/liberty-counsel,,,,
Occidental Quarterly,,,https://www.splcenter.org/fighting-hate/extremist-files/group/occidental-quarterly,,,,
National Alliance,,,https://www.splcenter.org/fighting-hate/extremist-files/group/national-alliance,,,,
Совет исследований по вопросам семьи ,,,https://www.splcenter.org/fighting-hate/extremist-files/group/%D1%81%D0%BE%D0%B2%D0%B5%D1%82-%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B9-%D0%BF%D0%BE-%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D0%B0%D0%BC-%D1%81%D0%B5%D0%BC%D1%8C%D0%B8,,,,
ACT! for America ,,,https://www.splcenter.org/fighting-hate/extremist-files/group/act-america,,,,
American Freedom Party,,,https://www.splcenter.org/fighting-hate/extremist-files/group/american-freedom-party,,,,
The Creativity Movement,,,https://www.splcenter.org/fighting-hate/extremist-files/group/creativity-movement,,,,
National Vanguard,,,https://www.splcenter.org/fighting-hate/extremist-files/group/national-vanguard,,,,
American Renaissance,,,https://www.splcenter.org/fighting-hate/extremist-files/group/american-renaissance,,,,
Nation of Islam,,,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,,,,
New Black Panther Party,,,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,,,,
Aryan Brotherhood of Texas,,,https://www.splcenter.org/fighting-hate/extremist-files/group/aryan-brotherhood-texas,,,,
White Lives Matter,,,https://www.splcenter.org/fighting-hate/extremist-files/group/white-lives-matter,,,,
Brotherhood of Klans,,,https://www.splcenter.org/fighting-hate/extremist-files/group/brotherhood-klans,,,,
Aryan Nations,,,https://www.splcenter.org/fighting-hate/extremist-files/group/aryan-nations,,,,
Keystone United,,,https://www.splcenter.org/fighting-hate/extremist-files/group/keystone-united,,,,
Family Research Council,,,https://www.splcenter.org/fighting-hate/extremist-files/group/family-research-council,,,,
WorldNetDaily,,,https://www.splcenter.org/fighting-hate/extremist-files/group/worldnetdaily,,,,
Institute for Historical Review,,,https://www.splcenter.org/fighting-hate/extremist-files/group/institute-historical-review,,,,
Conseil de recherche sur la famille,,,https://www.splcenter.org/fighting-hate/extremist-files/group/conseil-de-recherche-sur-la-famille,,,,
Jewish Defense League,,,https://www.splcenter.org/fighting-hate/extremist-files/group/jewish-defense-league,,,,
