Name,Researcher,Verified By,SPLC,Twitter,Facebook,YouTube,Notes
April Gaede,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/april-gaede,,,,
Michael Boldin,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/michael-boldin,,,,
John Tanton,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/john-tanton,,,,
Cliff Kincaid,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/cliff-kincaid,,,,
Kevin Lamb,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/kevin-lamb,,,,
William Shockley,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/william-shockley,,,,
"Gary ""Gerhard"" Lauck",,,https://www.splcenter.org/fighting-hate/extremist-files/individual/gary-gerhard-lauck,,,,
Richard Butler,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/richard-butler,,,,
Lou Engle,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/lou-engle,,,,
Morris Gulett,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/morris-gulett,,,,
Peter Brimelow,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/peter-brimelow,,,,
Matthew Heimbach,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/matthew-heimbach,,,,
Tom DeWeese,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/tom-deweese,,,,
Roger Pearson,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/roger-pearson,,,,
Malik Zulu Shabazz,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/malik-zulu-shabazz,,,,
James  Wickstrom,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/james-wickstrom,,,,
Paul Fromm,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/paul-fromm,,,,
Louis Beam,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/louis-beam,,,,
Willis Carto,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/willis-carto,,,,
Raymond Cattell,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/raymond-cattell,,,,
August Kreis,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/august-kreis,,,,
Kevin DeAnna,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/kevin-deanna,,,,
Joseph Francis Farah,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/joseph-francis-farah,,,,
Andrew Anglin,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/andrew-anglin,,,,
Pamela Geller,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/pamela-geller,,,,
Paul  Cameron,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/paul-cameron,,,,
Richard Lynn,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/richard-lynn,,,,
Henry Harpending,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/henry-harpending,,,,
David Horowitz,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/david-horowitz,,,,
Michael Levin,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/michael-levin,,,,
Don  Black,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/don-black,,,,
Craig Cobb,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/craig-cobb,,,,
Robert Spencer,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/robert-spencer,,,,
Edgar Steele,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/edgar-steele,,,,
Linda Gottfredson ,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/linda-gottfredson,,,,
